tt0590858	4	nm0141876	actor	["Michael Evans"]	Michael
tt0590859	1	nm0738354	actress	["Florida Evans"]	Florida
tt0590859	3	nm0141876	actor	["Michael Evans"]	Michael
tt0590859	4	nm0822304	actress	["Thelma Evans"]	Thelma
tt0590860	1	nm0738354	actress	["Florida Evans"]	Florida
tt0590860	3	nm0141876	actor	["Michael Evans"]	Michael
tt0590860	4	nm0822304	actress	["Thelma Evans Anderson"]	Thelma
tt0590861	2	nm0141876	actor	["Michael Evans"]	Michael
tt0590861	3	nm0822304	actress	["Thelma Evans"]	Thelma
tt0590861	4	nm0113900	actor	["Nathan Bookman"]	Nathan
tt0590862	1	nm0738354	actress	["Florida Evans"]	Florida
tt0590862	2	nm0025309	actor	["James Evans, Sr."]	James
tt0590862	4	nm0141876	actor	["Michael Evans"]	Michael
tt0590863	1	nm0738354	actress	["Florida Evans"]	Florida
tt0590863	2	nm0025309	actor	["James Evans, Sr."]	James
tt0590863	4	nm0141876	actor	["Michael Evans"]	Michael
tt0590864	2	nm0141876	actor	["Michael Evans"]	Michael
tt0590864	3	nm0822304	actress	["Thelma Evans"]	Thelma
tt0590864	4	nm0113900	actor	["Nathan Bookman"]	Nathan
tt0590865	1	nm0738354	actress	["Florida Evans"]	Florida
tt0590865	3	nm0141876	actor	["Michael Evans"]	Michael
tt0590865	4	nm0822304	actress	["Thelma Evans Anderson"]	Thelma
tt0590866	2	nm0141876	actor	["Michael Evans"]	Michael
tt0590866	3	nm0822304	actress	["Thelma Evans"]	Thelma
tt0590866	4	nm0113900	actor	["Nathan Bookman"]	Nathan
tt0590867	1	nm0738354	actress	["Florida Evans"]	Florida
tt0590867	3	nm0141876	actor	["Michael Evans"]	Michael
tt0590867	4	nm0822304	actress	["Thelma Evans"]	Thelma
tt0590868	1	nm0738354	actress	["Florida Evans"]	Florida
tt0590868	3	nm0141876	actor	["Michael Evans"]	Michael
tt0590868	4	nm0822304	actress	["Thelma Evans Anderson"]	Thelma
tt0590869	1	nm0738354	actress	["Florida Evans"]	Florida
tt0590869	3	nm0141876	actor	["Michael Evans"]	Michael
tt0590869	4	nm0822304	actress	["Thelma Evans"]	Thelma
tt0590870	1	nm0738354	actress	["Florida Evans"]	Florida
tt0590870	2	nm0025309	actor	["James Evans, Sr."]	James
tt0590870	4	nm0141876	actor	["Michael Evans"]	Michael
tt0590871	1	nm0738354	actress	["Florida Evans"]	Florida
tt0590871	3	nm0141876	actor	["Michael Evans"]	Michael
tt0590871	4	nm0822304	actress	["Thelma Evans Anderson"]	Thelma
tt0590872	1	nm0738354	actress	["Florida Evans"]	Florida
tt0590872	2	nm0025309	actor	["James Evans, Sr."]	James
tt0590872	4	nm0141876	actor	["Michael Evans"]	Michael
tt0590873	1	nm0738354	actress	["Florida Evans"]	Florida
tt0590873	2	nm0025309	actor	["James Evans, Sr."]	James
