name	sex	dramaRatio	actionRatio	comedyRation	total
Santiago	M	0.484134756971482	0.267383229829714	0.248482013198804	236
Raquel	F	0.456307268804842	0.190444221744708	0.35324850945045	236
Park	F	0.336014165802749	0.302585390921209	0.361400443276042	236
Luigi	M	0.311559541598268	0.258849479039932	0.4295909793618	236
Robin	F	0.289085713686366	0.304950674017461	0.405963612296173	236
Rudy	M	0.218538375150878	0.468912650288007	0.312548974561115	235
Werner	M	0.428441683536725	0.236823741788859	0.334734574674416	234
Hassan	M	0.384181082016648	0.358707970005511	0.257110947977841	234
Miller	M	0.344933493034827	0.405605268635241	0.249461238329932	234
Sasha	F	0.301449777710553	0.398782151065203	0.299768071224244	234
Rich	M	0.309220117684994	0.217460033116918	0.473319849198088	234
Patty	F	0.276420069757068	0.265449934880379	0.458129995362554	234
Johan	M	0.470047333578335	0.222604677101656	0.307347989320009	233
Valentina	F	0.360046096495538	0.266726936880845	0.373226966623617	233
Ramon	M	0.258355312108571	0.551338007929519	0.19030667996191	233
Harris	M	0.252417214873053	0.497021168838864	0.250561616288082	233
Ida	F	0.422146471548086	0.19098120345159	0.386872325000324	232
Petra	F	0.415851842841911	0.200112921154705	0.384035236003384	232
Abigail	F	0.361955273673119	0.365967102303159	0.272077624023721	232
Dawn	F	0.364567059039179	0.28532632625834	0.350106614702481	232
Allen	M	0.342340914972979	0.274438635055565	0.383220449971456	232
Jared	M	0.322046474537171	0.255266835393468	0.422686690069361	232
Esteban	M	0.332512943474663	0.450280665146855	0.217206391378483	231
Ronald	M	0.287840508088401	0.379086358502663	0.333073133408936	231
Curtis	M	0.296829125210437	0.389114544942722	0.314056329846841	230
Charlie	F	0.289973977548016	0.327606983542343	0.382419038909641	230
Abel	M	0.378014019672096	0.417966885585989	0.204019094741914	229
Antonia	F	0.481747396757786	0.157490569024978	0.360762034217237	228
Bianca	F	0.368634714834406	0.254985527147076	0.376379758018518	228
Jules	M	0.353378299343001	0.288388717112875	0.358232983544124	228
Dominic	M	0.322072310793489	0.435045837279761	0.242881851926751	226
Gil	M	0.32126306093527	0.336559926924474	0.342177012140256	226
Glenn	M	0.277389432786089	0.354138942442111	0.368471624771799	226
Aurora	F	0.388395167584544	0.259917168730764	0.351687663684693	225
Wally	M	0.169626712228825	0.403835969162321	0.426537318608854	225
Susie	F	0.28195660398718	0.177323966948631	0.540719429064189	224
Leah	F	0.401320538757799	0.299368200939301	0.299311260302901	223
Dante	M	0.280631568505131	0.439563508887098	0.279804922607771	223
Jenna	F	0.320227915136149	0.308348094551079	0.371423990312772	222
Ada	F	0.430129714425801	0.268220381441551	0.301649904132648	221
Andrea	M	0.374484020548202	0.225154690005752	0.400361289446046	221
Chase	M	0.213215239395011	0.470861662890651	0.315923097714338	221
Cecilia	F	0.512332221054739	0.186135796893393	0.301531982051868	220
Gregory	M	0.347696200096361	0.314057701106519	0.33824609879712	220
Williams	M	0.23553523852429	0.533677839313854	0.230786922161856	220
Bishop	M	0.32014509132174	0.423513824225919	0.256341084452341	219
Dirk	M	0.246028296398337	0.381747249023012	0.372224454578651	219
Xavier	M	0.36116875096568	0.273609595686651	0.365221653347669	218
Hilda	F	0.335166970651751	0.28877641486215	0.376056614486099	218
Sal	M	0.27218427149047	0.3718142508743	0.356001477635231	218
Stacy	F	0.26272912533274	0.25442252330992	0.482848351357341	218
Mathilde	F	0.508671307229943	0.110023494803368	0.381305197966689	217
Nana	F	0.406257474333103	0.211787328283377	0.38195519738352	217
Casey	M	0.272876816494547	0.449223944241317	0.277899239264137	216
Stacey	F	0.307661361121609	0.242692196695728	0.449646442182662	216
Bart	M	0.19522459725888	0.488511037231594	0.316264365509526	216
Beatriz	F	0.479361584863376	0.166136812890942	0.354501602245681	215
Davis	M	0.25622853937334	0.475665627384433	0.268105833242227	215
Lucie	F	0.435767589341418	0.142290876418087	0.421941534240495	214
Monika	F	0.399154475563222	0.233886170580466	0.366959353856312	214
Mitchell	M	0.349086433780049	0.355999038514713	0.294914527705238	214
Franklin	M	0.301668120581619	0.324324362302912	0.374007517115468	214
Louie	M	0.24638221667786	0.3004497497735	0.45316803354864	214
Morris	M	0.35568707874519	0.305963316842553	0.338349604412257	213
Clive	M	0.26305729183893	0.312204989859364	0.424737718301706	213
Alain	M	0.490291873864399	0.157787523249561	0.35192060288604	212
Gustav	M	0.428858728997838	0.218116739101213	0.353024531900949	212
Helene	F	0.44341694027459	0.250929224624263	0.305653835101147	211
Taylor	F	0.305653123346751	0.256943998806376	0.437402877846873	211
Nigel	M	0.220218949970981	0.381616671440163	0.398164378588856	211
Tamara	F	0.427756724774079	0.299421610259443	0.272821664966477	210
Maureen	F	0.426193846712249	0.19879300703924	0.375013146248511	210
