name	sex	total	realFreq	cinemaFreq	ratio	
Theresa	F	403324	0.115857578138665	0.0345676203984643	0.77020059980222	True
Louis	M	394969	0.113457547232127	0.122770806640997	0.480287591950389	False
Billy	M	382386	0.10984299440185	0.268066320767446	0.290659663556169	False
Bruce	M	382257	0.109805938269361	0.102476268213512	0.51726397651807	True
Judy	F	381936	0.109713728823401	0.0849694411084832	0.563550145920614	True
Bryan	M	379564	0.109032355596553	0.0317799090760075	0.774310077677486	True
Eugene	M	378539	0.10873791733453	0.0374668401738194	0.743737202452665	True
Beverly	F	376914	0.108271124967909	0.0243088427318233	0.816647694568171	True
Noah	M	375210	0.107781639310848	0.0506248376158155	0.680411820286534	True
Madison	F	373651	0.107333805895732	0.0252009103550095	0.80985427012699	True
Denise	F	371952	0.106845756522877	0.0618871913585409	0.633224025683271	True
Jane	F	370390	0.106397061337238	0.244315020300114	0.303374382885549	False
Marilyn	F	370302	0.10637178273523	0.0444918727064105	0.705085545115791	True
Amber	F	369899	0.106256018228308	0.0554197010904412	0.657216919621806	True
Jordan	M	369745	0.106211780674794	0.0412581275723606	0.720226803808589	True
Danielle	F	366310	0.105225053425966	0.0401430430433779	0.723852454435602	True
Dylan	M	361125	0.103735626705392	0.0491752277281379	0.678405905778819	True
Brittany	F	358160	0.102883910171833	0.0162802341231477	0.863379758907618	True
Diana	F	357575	0.102715864919849	0.119983095318541	0.461231901621345	False
Abigail	F	356404	0.10237948715904	0.0364632640977349	0.737377257597698	True
Russell	M	352885	0.101368630335569	0.0505133291629172	0.667417188126147	True
Wayne	M	352008	0.101116706086013	0.0524089728621878	0.658630574238526	True
Irene	F	351710	0.101031103547396	0.0991310146265638	0.504746374933895	True
Annie	F	349367	0.100358060768938	0.141281209822111	0.415321816373069	False
Charlotte	F	348876	0.100217017660008	0.132026008231554	0.431517877771714	False
Ruby	F	348077	0.0999874994440503	0.0558657349020342	0.641549082144937	True
Natalie	F	347341	0.0997760784090758	0.077498374764299	0.562833936999905	True
Alan	M	346678	0.0995856271234941	0.152432055111938	0.395153333052489	False
Howard	M	344897	0.0990740226896767	0.0879801693367366	0.529654115828031	True
Juan	M	344846	0.0990593725907859	0.161575748249596	0.380069164398807	False
